epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,2027.1,0.50133,0.37326,0.90562,0.89781,0.68204,0.7852,0.64033,0.725,0.75172,0.97823,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941,0.0017823,0.0005941
43,2074.75,0.51641,0.37247,0.91225,0.75896,0.78892,0.79723,0.64813,0.74343,0.74764,0.96394,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842,0.0017526,0.0005842
44,2122.3,0.49028,0.35687,0.90233,0.86273,0.69804,0.78518,0.64732,0.74541,0.78466,0.96502,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743,0.0017229,0.0005743
45,2169.3,0.51605,0.38441,0.91851,0.86647,0.70993,0.78752,0.64402,0.74936,0.79855,0.97865,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644,0.0016932,0.0005644
46,2216.37,0.49289,0.37135,0.90644,0.82217,0.71073,0.79693,0.64986,0.75599,0.79115,0.98131,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
47,2264.64,0.49634,0.37451,0.90658,0.85277,0.67662,0.8096,0.66115,0.76479,0.77229,0.9742,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446,0.0016338,0.0005446
48,2312.84,0.52492,0.37439,0.90565,0.70951,0.79901,0.81329,0.66986,0.75548,0.80172,0.97434,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347,0.0016041,0.0005347
49,2358.55,0.47416,0.34767,0.8995,0.70899,0.74674,0.7763,0.63493,0.77078,0.85883,0.9769,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248,0.0015744,0.0005248
50,2404.04,0.49541,0.35554,0.91138,0.83108,0.65451,0.7646,0.62871,0.78221,0.92382,0.99143,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149,0.0015447,0.0005149
51,2452.16,0.47568,0.34044,0.8927,0.74913,0.73354,0.73352,0.59522,0.77665,0.99325,0.99604,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
52,2500.26,0.47915,0.34083,0.89603,0.65678,0.75417,0.71938,0.58348,0.75135,1.12169,0.99331,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951,0.0014853,0.0004951
