epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,2951.08,0.2041,0.31175,0.08915,0.54325,0.51001,0.43996,0.34861,0.22223,0.70332,0.09261,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,3014.65,0.2018,0.32291,0.08682,0.47489,0.48489,0.42137,0.32247,0.23174,0.68394,0.09484,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,3078.06,0.20749,0.33703,0.08416,0.53593,0.48574,0.43082,0.34065,0.2285,0.66708,0.09419,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,3141.23,0.20344,0.32269,0.09192,0.55756,0.60287,0.47193,0.38071,0.22201,0.6775,0.09333,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,3202.12,0.19575,0.31549,0.09067,0.55841,0.53146,0.455,0.36156,0.22801,0.66708,0.09232,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,3264.63,0.20587,0.2974,0.08922,0.47407,0.44933,0.42649,0.32808,0.22432,0.67475,0.09246,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,3327.52,0.20544,0.30425,0.08557,0.65303,0.55728,0.47623,0.38271,0.2318,0.68957,0.094,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,3389.23,0.20766,0.28191,0.08689,0.612,0.52283,0.44703,0.35341,0.23445,0.71793,0.09356,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,3451.27,0.19549,0.30765,0.08617,0.60151,0.54692,0.46865,0.37702,0.23205,0.71559,0.09424,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,3514.39,0.20276,0.29973,0.08699,0.57736,0.53207,0.46215,0.37184,0.2344,0.73525,0.09602,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,3577.61,0.20269,0.29982,0.08398,0.58933,0.54216,0.44609,0.3538,0.23468,0.75807,0.09579,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
56,3641.48,0.19868,0.29262,0.09743,0.65899,0.52672,0.46999,0.37913,0.23033,0.7337,0.09297,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909,0.00195273,0.000650909
57,3701.94,0.19064,0.29787,0.0877,0.5772,0.5087,0.44329,0.35203,0.23048,0.73827,0.09358,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
58,3765.37,0.17995,0.28615,0.08726,0.57132,0.50705,0.43844,0.34511,0.23633,0.72341,0.0921,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615,0.00186785,0.000622615
59,3829.22,0.18407,0.28284,0.08283,0.60776,0.52224,0.47227,0.37968,0.23858,0.69904,0.09442,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
60,3889.43,0.18182,0.28788,0.08415,0.63564,0.55168,0.46209,0.37374,0.2358,0.70075,0.0954,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321,0.00178296,0.000594321
61,3951.17,0.2021,0.28617,0.09587,0.59884,0.51029,0.42448,0.3345,0.22821,0.72741,0.09504,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
62,4014.09,0.19059,0.29749,0.09022,0.63508,0.51029,0.42329,0.33166,0.23113,0.75223,0.09269,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027,0.00169808,0.000566027
63,4078.03,0.19017,0.27938,0.08557,0.62849,0.56625,0.47676,0.38015,0.23229,0.71327,0.09359,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
64,4140.61,0.18157,0.2914,0.08235,0.5672,0.50729,0.44185,0.34917,0.22905,0.72708,0.09403,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733,0.0016132,0.000537733
65,4202.27,0.18905,0.2947,0.0948,0.60143,0.52962,0.44175,0.34782,0.23362,0.72315,0.09457,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
66,4265.39,0.19292,0.27889,0.08361,0.6045,0.53943,0.44843,0.3538,0.23359,0.72706,0.09462,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438,0.00152832,0.000509438
