epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
61,3823.52,0.21246,0.31213,0.09863,0.86702,0.57877,0.60267,0.49446,0.28554,0.70118,0.1228,0.000406,0.000406,0.000406
62,3884.46,0.20277,0.31753,0.10387,0.83855,0.60315,0.61291,0.50724,0.27667,0.7518,0.12973,0.0003961,0.0003961,0.0003961
63,3943.93,0.20217,0.32009,0.09707,0.80235,0.64754,0.66671,0.55458,0.2767,0.806,0.13249,0.0003862,0.0003862,0.0003862
64,4007.92,0.19714,0.32476,0.09341,0.70603,0.69483,0.67167,0.56516,0.2686,0.76097,0.11933,0.0003763,0.0003763,0.0003763
65,4067.02,0.20167,0.3214,0.10404,0.84467,0.55761,0.61772,0.50973,0.27743,0.69752,0.12963,0.0003664,0.0003664,0.0003664
66,4128.51,0.19343,0.3099,0.08424,0.87571,0.59149,0.6249,0.5212,0.26721,0.83567,0.12503,0.0003565,0.0003565,0.0003565
67,4189.18,0.20371,0.30433,0.09593,0.77664,0.6994,0.67902,0.56354,0.28747,0.86447,0.11848,0.0003466,0.0003466,0.0003466
68,4249.24,0.18734,0.30989,0.08393,0.80108,0.73216,0.73127,0.60421,0.28674,0.83567,0.11787,0.0003367,0.0003367,0.0003367
69,4312.07,0.18043,0.30491,0.08775,0.84446,0.58875,0.65582,0.54606,0.28207,0.85192,0.12043,0.0003268,0.0003268,0.0003268
70,4373.9,0.19283,0.30503,0.09159,0.73552,0.65863,0.6624,0.54644,0.27827,0.86731,0.11881,0.0003169,0.0003169,0.0003169
71,4431.72,0.18392,0.29428,0.08603,0.72179,0.67079,0.64227,0.53638,0.28696,0.87472,0.11698,0.000307,0.000307,0.000307
72,4490.74,0.18514,0.30979,0.08619,0.85588,0.62005,0.62915,0.52423,0.28702,0.85084,0.11972,0.0002971,0.0002971,0.0002971
73,4550.17,0.19995,0.29157,0.09315,0.87996,0.59379,0.63075,0.5246,0.30734,0.83771,0.11932,0.0002872,0.0002872,0.0002872
74,4609.91,0.1896,0.30143,0.08765,0.8728,0.58509,0.64379,0.54028,0.29845,0.79317,0.12443,0.0002773,0.0002773,0.0002773
75,4669.22,0.18704,0.29621,0.09298,0.84745,0.65932,0.6711,0.56302,0.29481,0.76235,0.12333,0.0002674,0.0002674,0.0002674
76,4728.95,0.17894,0.28737,0.0823,0.84421,0.65748,0.66515,0.55454,0.28598,0.78125,0.11501,0.0002575,0.0002575,0.0002575
77,4788.24,0.18732,0.28227,0.09006,0.8127,0.66691,0.67109,0.56207,0.28118,0.80071,0.11424,0.0002476,0.0002476,0.0002476
78,4846.25,0.1709,0.29876,0.07778,0.70851,0.69092,0.67262,0.55805,0.28567,0.71074,0.11836,0.0002377,0.0002377,0.0002377
79,4905.16,0.17675,0.28233,0.08775,0.85245,0.67288,0.67918,0.56121,0.27991,0.73922,0.12106,0.0002278,0.0002278,0.0002278
80,4965.26,0.17314,0.26828,0.08573,0.84747,0.64025,0.6699,0.55451,0.28092,0.71532,0.11983,0.0002179,0.0002179,0.0002179
81,5020.96,0.17776,0.28704,0.089,0.82963,0.67128,0.68016,0.567,0.27633,0.67641,0.12739,0.000208,0.000208,0.000208
82,5081.89,0.15953,0.26724,0.07812,0.7958,0.68597,0.67298,0.55652,0.27569,0.74472,0.12434,0.0001981,0.0001981,0.0001981
83,5139.58,0.16053,0.26432,0.07741,0.75924,0.66267,0.66574,0.55884,0.2934,0.83057,0.13143,0.0001882,0.0001882,0.0001882
84,5198.82,0.17152,0.26781,0.07942,0.85956,0.62789,0.64577,0.53554,0.27692,0.72144,0.12314,0.0001783,0.0001783,0.0001783
85,5256.94,0.16655,0.27022,0.08307,0.89163,0.61856,0.64713,0.54142,0.28049,0.67412,0.12596,0.0001684,0.0001684,0.0001684
86,5314.76,0.16796,0.25003,0.08516,0.88447,0.61365,0.63924,0.53632,0.28201,0.62535,0.12359,0.0001585,0.0001585,0.0001585
87,5374.52,0.15945,0.26263,0.07804,0.83614,0.61858,0.6438,0.53454,0.29393,0.65398,0.1273,0.0001486,0.0001486,0.0001486
88,5436.18,0.15523,0.24173,0.07122,0.85313,0.72429,0.71429,0.5945,0.27538,0.73866,0.12346,0.0001387,0.0001387,0.0001387
89,5497.31,0.15059,0.24514,0.07924,0.86128,0.70214,0.70652,0.58787,0.27907,0.78768,0.12624,0.0001288,0.0001288,0.0001288
