epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,1945.84,0.55368,0.39541,0.91314,0.8247,0.85016,0.88397,0.71389,0.78071,0.55015,0.97814,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263,0.00263179,0.000877263
41,1993.77,0.58033,0.39166,0.93483,0.86943,0.81956,0.90168,0.71464,0.78737,0.56468,0.98179,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
42,2040.17,0.56209,0.37383,0.91365,0.9184,0.816,0.91446,0.72011,0.79148,0.53298,0.98495,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969,0.00254691,0.000848969
43,2087.98,0.55213,0.39321,0.92157,0.88378,0.83881,0.89849,0.71298,0.81605,0.54546,0.99442,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
44,2135.81,0.54966,0.37537,0.92081,0.84372,0.85317,0.88558,0.7136,0.76636,0.54698,0.96837,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675,0.00246202,0.000820675
45,2183.74,0.56543,0.38649,0.9301,0.87281,0.81929,0.87647,0.69556,0.78148,0.58712,0.97614,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
46,2229.99,0.53403,0.3748,0.91667,0.85642,0.7957,0.87692,0.70143,0.74773,0.59681,0.96862,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238,0.00237714,0.00079238
47,2278.37,0.55412,0.37723,0.92007,0.86139,0.81629,0.8864,0.7059,0.78979,0.6224,0.97298,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
48,2327.18,0.57757,0.38098,0.92292,0.90257,0.78235,0.88096,0.69325,0.78707,0.59575,0.97574,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086,0.00229226,0.000764086
49,2375.66,0.53738,0.36899,0.91424,0.85175,0.82064,0.86782,0.69147,0.74307,0.57128,0.95262,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
50,2423.99,0.5394,0.36396,0.91452,0.89017,0.81355,0.87648,0.70785,0.74681,0.57443,0.95017,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792,0.00220738,0.000735792
51,2471.89,0.53681,0.35869,0.90381,0.8666,0.82997,0.88402,0.71539,0.78167,0.56641,0.96621,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
52,2520.2,0.52925,0.3628,0.90859,0.88078,0.8233,0.9126,0.72857,0.78267,0.52295,0.97158,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498,0.00212249,0.000707498
53,2568.43,0.51445,0.34507,0.9013,0.90477,0.80556,0.90234,0.73287,0.78076,0.55858,0.96688,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
54,2615.65,0.51349,0.34242,0.90194,0.8892,0.78891,0.89449,0.71304,0.77074,0.56968,0.97229,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204,0.00203761,0.000679204
55,2662.33,0.52681,0.36596,0.91769,0.88303,0.78666,0.86997,0.70346,0.74222,0.58374,0.95214,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
