epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,2341.7,0.48478,0.33285,1.09784,0.75211,0.77609,0.76769,0.59366,0.75143,0.75625,1.18206,0.00206746,0.000689153,0.00206746,0.000689153,0.00206746,0.000689153,0.00206746,0.000689153
41,2395.97,0.51831,0.36503,1.10819,0.82542,0.76687,0.78528,0.60448,0.71654,0.68424,1.17124,0.00203501,0.000678337,0.00203501,0.000678337,0.00203501,0.000678337,0.00203501,0.000678337
42,2451.42,0.4828,0.34395,1.09334,0.79868,0.65496,0.7405,0.59656,0.74455,0.74726,1.19351,0.00200256,0.00066752,0.00200256,0.00066752,0.00200256,0.00066752,0.00200256,0.00066752
43,2506.59,0.47208,0.33678,1.07159,0.73761,0.64448,0.7333,0.58379,0.72337,0.86827,1.18984,0.00197011,0.000656703,0.00197011,0.000656703,0.00197011,0.000656703,0.00197011,0.000656703
44,2561.68,0.47746,0.33116,1.08751,0.75117,0.6955,0.71495,0.55501,0.76062,0.74179,1.21646,0.00193766,0.000645887,0.00193766,0.000645887,0.00193766,0.000645887,0.00193766,0.000645887
45,2615.7,0.49227,0.33531,1.10592,0.73507,0.76849,0.76697,0.58259,0.75926,0.69424,1.22857,0.00190521,0.00063507,0.00190521,0.00063507,0.00190521,0.00063507,0.00190521,0.00063507
46,2671.44,0.49068,0.33171,1.11154,0.87402,0.69873,0.7983,0.60781,0.76214,0.64886,1.24035,0.00187276,0.000624254,0.00187276,0.000624254,0.00187276,0.000624254,0.00187276,0.000624254
47,2727.71,0.46222,0.31313,1.08655,0.77095,0.72206,0.74741,0.56826,0.77213,0.72601,1.23622,0.00184031,0.000613437,0.00184031,0.000613437,0.00184031,0.000613437,0.00184031,0.000613437
48,2785.68,0.46854,0.33291,1.09534,0.72776,0.6422,0.69831,0.53778,0.71601,0.81451,1.20552,0.00180786,0.000602621,0.00180786,0.000602621,0.00180786,0.000602621,0.00180786,0.000602621
49,2838.81,0.48901,0.32878,1.09079,0.69033,0.68351,0.72975,0.57091,0.71737,0.77647,1.21004,0.00177541,0.000591804,0.00177541,0.000591804,0.00177541,0.000591804,0.00177541,0.000591804
50,2896.5,0.44454,0.30928,1.07996,0.70104,0.76942,0.75001,0.58797,0.74547,0.76899,1.22447,0.00174296,0.000580987,0.00174296,0.000580987,0.00174296,0.000580987,0.00174296,0.000580987
51,2952.37,0.45416,0.31288,1.08324,0.72368,0.74145,0.7449,0.58979,0.74341,0.80774,1.22098,0.00171051,0.000570171,0.00171051,0.000570171,0.00171051,0.000570171,0.00171051,0.000570171
52,3007.91,0.44157,0.3161,1.07704,0.84327,0.6468,0.72838,0.57501,0.7457,0.76527,1.21932,0.00167806,0.000559354,0.00167806,0.000559354,0.00167806,0.000559354,0.00167806,0.000559354
53,3064.26,0.42769,0.28628,1.05893,0.69327,0.73535,0.73397,0.56721,0.76515,0.76088,1.2404,0.00164561,0.000548538,0.00164561,0.000548538,0.00164561,0.000548538,0.00164561,0.000548538
54,3119.3,0.43579,0.2893,1.07716,0.85743,0.65106,0.74352,0.56528,0.73807,0.74983,1.22517,0.00161316,0.000537721,0.00161316,0.000537721,0.00161316,0.000537721,0.00161316,0.000537721
55,3173.82,0.45361,0.30036,1.10298,0.77922,0.70921,0.74541,0.55664,0.76225,0.80772,1.2315,0.00158071,0.000526904,0.00158071,0.000526904,0.00158071,0.000526904,0.00158071,0.000526904
56,3230.48,0.43595,0.2952,1.09189,0.7285,0.72033,0.72262,0.54836,0.78012,0.88578,1.23465,0.00154826,0.000516088,0.00154826,0.000516088,0.00154826,0.000516088,0.00154826,0.000516088
57,3285.71,0.45426,0.3086,1.08283,0.75049,0.68078,0.72566,0.55732,0.77126,0.82548,1.23178,0.00151581,0.000505271,0.00151581,0.000505271,0.00151581,0.000505271,0.00151581,0.000505271
58,3339.8,0.42485,0.28903,1.06395,0.78812,0.66473,0.73905,0.56749,0.77131,0.75489,1.24544,0.00148336,0.000494455,0.00148336,0.000494455,0.00148336,0.000494455,0.00148336,0.000494455
59,3393.56,0.40594,0.27766,1.05222,0.90233,0.65406,0.75304,0.57685,0.7879,0.73512,1.2359,0.00145091,0.000483638,0.00145091,0.000483638,0.00145091,0.000483638,0.00145091,0.000483638
