epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2586.53,0.8876,0.79064,1.08405,0.82911,0.50478,0.61771,0.50411,1.02733,1.24089,1.08676,0.000454622,0.000454622,0.000454622
58,2630.96,0.85384,0.77009,1.0546,0.7927,0.59791,0.65451,0.52779,1.07684,1.13741,1.10314,0.000444883,0.000444883,0.000444883
59,2675.15,0.88444,0.78943,1.0788,0.72585,0.58559,0.64405,0.52065,1.10384,1.28172,1.11669,0.000435144,0.000435144,0.000435144
60,2721.87,0.86118,0.80277,1.05571,0.82394,0.60881,0.66829,0.53744,1.06427,1.27263,1.10973,0.000425405,0.000425405,0.000425405
61,2766.26,0.78215,0.71023,1.03118,0.85117,0.64802,0.70464,0.57327,1.01916,1.16814,1.09078,0.000415666,0.000415666,0.000415666
62,2812.3,0.81595,0.69264,1.03578,0.88176,0.63211,0.70147,0.57918,1.08332,1.1318,1.10267,0.000405927,0.000405927,0.000405927
63,2858.35,0.79487,0.73141,1.02933,0.81807,0.62768,0.70009,0.57528,1.08522,1.15478,1.08686,0.000396188,0.000396188,0.000396188
64,2902.57,0.79228,0.69113,1.02868,0.85352,0.61546,0.72299,0.59884,1.02972,1.15168,1.0931,0.000386449,0.000386449,0.000386449
65,2946.25,0.80517,0.71056,1.0324,0.79764,0.58637,0.70619,0.57316,1.08328,1.16822,1.11449,0.00037671,0.00037671,0.00037671
66,2990.44,0.79465,0.69038,1.04272,0.75763,0.6528,0.70382,0.56885,1.10583,1.03879,1.14466,0.000366972,0.000366972,0.000366972
67,3033.49,0.81266,0.70718,1.04322,0.74302,0.66573,0.69788,0.55793,1.08786,1.12694,1.10288,0.000357233,0.000357233,0.000357233
68,3076.51,0.78302,0.68615,1.03148,0.74764,0.60544,0.64209,0.51273,1.09182,1.33577,1.10905,0.000347494,0.000347494,0.000347494
69,3121.12,0.77022,0.64967,1.01654,0.75216,0.60326,0.64248,0.51779,1.05686,1.26862,1.09317,0.000337755,0.000337755,0.000337755
70,3164.78,0.81057,0.70643,1.02449,0.86009,0.62791,0.70445,0.57558,1.01556,1.07226,1.09262,0.000328016,0.000328016,0.000328016
71,3208.76,0.76087,0.65828,1.01549,0.81588,0.64341,0.71001,0.58474,1.03613,1.14017,1.08984,0.000318277,0.000318277,0.000318277
72,3253.14,0.77447,0.65762,1.02429,0.80908,0.62492,0.67625,0.55167,1.03883,1.14223,1.09791,0.000308538,0.000308538,0.000308538
73,3298.65,0.75101,0.66415,1.01921,0.90227,0.63499,0.69995,0.57126,1.00684,1.0852,1.10912,0.000298799,0.000298799,0.000298799
74,3342.5,0.72321,0.61328,1.00617,0.81414,0.56956,0.6787,0.55476,1.05733,1.18154,1.111,0.00028906,0.00028906,0.00028906
75,3385.29,0.75895,0.64291,1.02858,0.80982,0.56533,0.65774,0.5351,1.07103,1.23176,1.10163,0.000279321,0.000279321,0.000279321
76,3430.85,0.69101,0.60902,0.98815,0.79924,0.62069,0.67873,0.557,1.03608,1.30279,1.08698,0.000269582,0.000269582,0.000269582
77,3484.06,0.73962,0.64512,1.00684,0.87419,0.61764,0.69761,0.56909,1.06184,1.20437,1.10804,0.000259844,0.000259844,0.000259844
78,3526.5,0.70998,0.60598,1.00337,0.88653,0.64681,0.71597,0.58268,1.02725,1.08472,1.10801,0.000250105,0.000250105,0.000250105
79,3571.7,0.71574,0.60676,1.001,0.70199,0.62803,0.69284,0.57136,1.01989,1.15465,1.09471,0.000240366,0.000240366,0.000240366
80,3615.29,0.70915,0.5913,1.00367,0.73657,0.57907,0.65911,0.54432,1.00422,1.34493,1.08744,0.000230627,0.000230627,0.000230627
81,3659.26,0.69866,0.57923,0.98562,0.75352,0.5995,0.64393,0.52727,1.04533,1.32365,1.09691,0.000220888,0.000220888,0.000220888
82,3705,0.69528,0.58654,0.98432,0.74902,0.60194,0.66057,0.52992,1.11315,1.28856,1.12373,0.000211149,0.000211149,0.000211149
83,3748.53,0.70188,0.56062,1.00198,0.79241,0.63826,0.70926,0.57457,1.08115,1.17092,1.10948,0.00020141,0.00020141,0.00020141
84,3793.6,0.66891,0.57246,0.97905,0.82894,0.63599,0.71166,0.56668,1.0663,1.08186,1.0946,0.000191671,0.000191671,0.000191671
